id,focus,signal,slack,drag,confidence,score,lane
l001,fill risk,35,33,6,25,98,hold
l002,portfolio drift,35,34,6,55,129,watch
l003,quote width,35,35,6,85,160,watch
l004,spread pressure,35,36,18,25,41,hold
l005,fill risk,35,37,18,55,72,hold
l006,portfolio drift,35,38,18,85,103,hold
l007,quote width,35,39,34,25,-36,hold
l008,spread pressure,35,40,34,55,-5,hold
l009,fill risk,35,41,34,85,26,hold
l010,portfolio drift,60,42,6,25,157,watch
l011,quote width,60,43,6,55,188,watch
l012,spread pressure,60,44,6,85,219,ship
l013,fill risk,60,45,18,25,100,hold
l014,portfolio drift,60,46,18,55,131,watch
l015,quote width,60,47,18,85,162,watch
l016,spread pressure,60,48,34,25,23,hold
l017,fill risk,60,32,34,55,37,hold
l018,portfolio drift,60,33,34,85,68,hold
l019,quote width,85,34,6,25,199,ship
l020,spread pressure,85,35,6,55,230,ship
l021,fill risk,85,36,6,85,261,ship
l022,portfolio drift,85,37,18,25,142,watch
l023,quote width,85,38,18,55,173,watch
l024,spread pressure,85,39,18,85,204,ship
l025,fill risk,85,40,34,25,65,hold
l026,portfolio drift,85,41,34,55,96,hold
l027,quote width,85,42,34,85,127,hold
